iso,id_1,name_1,time_e,time_e_str,lat,lon,connectivity
VEN,2,Anzoátegui,1563890400,23-Jul-2019 14:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563894000,23-Jul-2019 15:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563897600,23-Jul-2019 16:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563901200,23-Jul-2019 17:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563904800,23-Jul-2019 18:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563908400,23-Jul-2019 19:00:00,10.1061147498108,-64.7334323737705,80
VEN,2,Anzoátegui,1563912000,23-Jul-2019 20:00:00,10.1061147498108,-64.7334323737705,80
VEN,2,Anzoátegui,1563915600,23-Jul-2019 21:00:00,10.1061147498108,-64.7334323737705,80
VEN,2,Anzoátegui,1563919200,23-Jul-2019 22:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563922800,23-Jul-2019 23:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563926400,24-Jul-2019 00:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563930000,24-Jul-2019 01:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563933600,24-Jul-2019 02:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563937200,24-Jul-2019 03:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563940800,24-Jul-2019 04:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563944400,24-Jul-2019 05:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563948000,24-Jul-2019 06:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563951600,24-Jul-2019 07:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563955200,24-Jul-2019 08:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563958800,24-Jul-2019 09:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563962400,24-Jul-2019 10:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563966000,24-Jul-2019 11:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563969600,24-Jul-2019 12:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563973200,24-Jul-2019 13:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563976800,24-Jul-2019 14:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563980400,24-Jul-2019 15:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563984000,24-Jul-2019 16:00:00,10.1061147498108,-64.7334323737705,100
VEN,4,Aragua,1563580800,20-Jul-2019 00:00:00,10.4848114487106,-67.5603431541549,100
VEN,4,Aragua,1563584400,20-Jul-2019 01:00:00,10.4848114487106,-67.5603431541549,90
VEN,4,Aragua,1563588000,20-Jul-2019 02:00:00,10.4848114487106,-67.5603431541549,90
VEN,4,Aragua,1563591600,20-Jul-2019 03:00:00,10.4848114487106,-67.5603431541549,90
VEN,4,Aragua,1563595200,20-Jul-2019 04:00:00,10.4848114487106,-67.5603431541549,90
VEN,4,Aragua,1563598800,20-Jul-2019 05:00:00,10.4848114487106,-67.5603431541549,90
VEN,4,Aragua,1563602400,20-Jul-2019 06:00:00,10.4848114487106,-67.5603431541549,100
VEN,4,Aragua,1563606000,20-Jul-2019 07:00:00,10.4848114487106,-67.5603431541549,100
VEN,4,Aragua,1563609600,20-Jul-2019 08:00:00,10.4848114487106,-67.5603431541549,100
VEN,4,Aragua,1563613200,20-Jul-2019 09:00:00,10.4848114487106,-67.5603431541549,100
VEN,4,Aragua,1563616800,20-Jul-2019 10:00:00,10.4848114487106,-67.5603431541549,100
