country_iso_three_char_code,country_iso_name,adm1_name,adm1_unique_identifier,timezone_offset,timezone_name,time_local,latency_indx
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 21:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 00:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 03:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 06:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 09:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 12:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 15:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 18:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,26-Dec-2021 21:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 00:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 03:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 06:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 09:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 12:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 18:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,27-Dec-2021 21:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 06:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 09:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 12:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 15:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 18:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,28-Dec-2021 21:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 06:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 12:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,29-Dec-2021 21:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 06:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 09:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 12:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 15:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 18:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,30-Dec-2021 21:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 06:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 09:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 12:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 15:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,31-Dec-2021 21:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 03:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 06:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 09:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 12:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 15:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 18:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,01-Jan-2022 21:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 06:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 09:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 12:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,02-Jan-2022 21:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 06:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 12:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 15:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 18:00:00,103
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,03-Jan-2022 21:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 03:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 06:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 12:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 15:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 18:00:00,103.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,04-Jan-2022 21:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,05-Jan-2022 00:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,05-Jan-2022 03:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,05-Jan-2022 06:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,05-Jan-2022 09:00:00,101.7
